repo,url,decision,reason,diskUsage,isArchived,notion_matched
2-brothers-auto-service-mufflers-preview-m6kt,https://github.com/nsheetzdesign/2-brothers-auto-service-mufflers-preview-m6kt,DELETE,preview-style name (generated site),24,False,
24hour-air-conditioning-repair-preview-7u7i,https://github.com/nsheetzdesign/24hour-air-conditioning-repair-preview-7u7i,DELETE,preview-style name (generated site),24,False,
a-a-automobile-service-inc-preview-31ep,https://github.com/nsheetzdesign/a-a-automobile-service-inc-preview-31ep,DELETE,preview-style name (generated site),21,False,
a-a-automobile-service-inc-preview-3rvo,https://github.com/nsheetzdesign/a-a-automobile-service-inc-preview-3rvo,DELETE,preview-style name (generated site),2,False,
a-g-automotive-preview-j3p9,https://github.com/nsheetzdesign/a-g-automotive-preview-j3p9,DELETE,preview-style name (generated site),24,False,
a-m-electrical-llc-preview-ylca,https://github.com/nsheetzdesign/a-m-electrical-llc-preview-ylca,DELETE,preview-style name (generated site),24,False,
a-sparkling-solutions-cleaning-services-preview-8wku,https://github.com/nsheetzdesign/a-sparkling-solutions-cleaning-services-preview-8wku,DELETE,preview-style name (generated site),4,False,
a-sparkling-solutions-cleaning-services-preview-o7pn,https://github.com/nsheetzdesign/a-sparkling-solutions-cleaning-services-preview-o7pn,DELETE,preview-style name (generated site),21,False,
a-tech-auto-preview-mbvl,https://github.com/nsheetzdesign/a-tech-auto-preview-mbvl,DELETE,preview-style name (generated site),21,False,
a-to-z-auto-repair-villa-park-illinois-preview-y9x6,https://github.com/nsheetzdesign/a-to-z-auto-repair-villa-park-illinois-preview-y9x6,DELETE,preview-style name (generated site),24,False,
accolade-electrical-chicago-il-preview-9jnq,https://github.com/nsheetzdesign/accolade-electrical-chicago-il-preview-9jnq,DELETE,preview-style name (generated site),21,False,
accolade-electrical-chicago-il-preview-onir,https://github.com/nsheetzdesign/accolade-electrical-chicago-il-preview-onir,DELETE,preview-style name (generated site),0,False,
action-electric-preview-5sgp,https://github.com/nsheetzdesign/action-electric-preview-5sgp,DELETE,preview-style name (generated site),3,False,
active-roofing-solutions-llc-preview-kes8,https://github.com/nsheetzdesign/active-roofing-solutions-llc-preview-kes8,DELETE,preview-style name (generated site),24,False,
addison-heating-air-conditioning-preview-1ta3,https://github.com/nsheetzdesign/addison-heating-air-conditioning-preview-1ta3,DELETE,preview-style name (generated site),0,False,
advanced-landscaping-tree-service-preview-97s3,https://github.com/nsheetzdesign/advanced-landscaping-tree-service-preview-97s3,DELETE,preview-style name (generated site),24,False,
advantage-electric-preview-tbzf,https://github.com/nsheetzdesign/advantage-electric-preview-tbzf,DELETE,preview-style name (generated site),25,False,
agc-electric-inc-preview-iym6,https://github.com/nsheetzdesign/agc-electric-inc-preview-iym6,DELETE,preview-style name (generated site),2,False,
agc-electric-inc-preview-tz4m,https://github.com/nsheetzdesign/agc-electric-inc-preview-tz4m,DELETE,preview-style name (generated site),21,False,
aguilera-auto-repair-preview-u8br,https://github.com/nsheetzdesign/aguilera-auto-repair-preview-u8br,DELETE,preview-style name (generated site),25,False,
air-conditioner-repair-hvac-contractors--preview-cfbs,https://github.com/nsheetzdesign/air-conditioner-repair-hvac-contractors--preview-cfbs,DELETE,preview-style name (generated site),21,False,
air-conditioner-repair-hvac-contractors-tem-control-ac-repairman-preview-q6cj,https://github.com/nsheetzdesign/air-conditioner-repair-hvac-contractors-tem-control-ac-repairman-preview-q6cj,DELETE,preview-style name (generated site),3,False,
air-conditioning-heating-chicago-preview-5ee3,https://github.com/nsheetzdesign/air-conditioning-heating-chicago-preview-5ee3,DELETE,preview-style name (generated site),0,False,
air-conditioning-heating-chicago-preview-q3g9,https://github.com/nsheetzdesign/air-conditioning-heating-chicago-preview-q3g9,DELETE,preview-style name (generated site),21,False,
air-heating-air-conditioning-refrigeration-preview-hkap,https://github.com/nsheetzdesign/air-heating-air-conditioning-refrigeration-preview-hkap,DELETE,preview-style name (generated site),0,False,
alianza-complete-auto-repair-preview-vn3g,https://github.com/nsheetzdesign/alianza-complete-auto-repair-preview-vn3g,DELETE,preview-style name (generated site),21,False,
alianza-complete-auto-repair-preview-yxp1,https://github.com/nsheetzdesign/alianza-complete-auto-repair-preview-yxp1,DELETE,preview-style name (generated site),0,False,
all-auto-truck-inc-preview-5m84,https://github.com/nsheetzdesign/all-auto-truck-inc-preview-5m84,DELETE,preview-style name (generated site),3,False,
